Hour,City,Relative Humidity (%)
2024-12-02T00:00,New York,38
2024-12-02T01:00,Sydney,32
2024-12-02T02:00,Sydney,27
2024-12-02T03:00,Sydney,26
2024-12-02T04:00,Sydney,26
2024-12-02T05:00,Sydney,43
2024-12-02T06:00,Sydney,42
2024-12-02T07:00,Sydney,43
2024-12-02T08:00,Sydney,42
2024-12-02T09:00,Mumbai,42
2024-12-02T10:00,Sydney,42
2024-12-02T11:00,Sydney,43
2024-12-02T12:00,Sydney,41
2024-12-02T13:00,Sydney,43
2024-12-02T14:00,Sydney,45
2024-12-02T15:00,Sydney,47
2024-12-02T16:00,Rio de Janeiro,40
2024-12-02T17:00,Rio de Janeiro,37
2024-12-02T18:00,Rio de Janeiro,37
2024-12-02T19:00,Rio de Janeiro,38
2024-12-02T20:00,New York,42
2024-12-02T21:00,New York,40
2024-12-02T22:00,New York,46
2024-12-02T23:00,New York,45
2024-12-03T00:00,Sydney,45
2024-12-03T01:00,Sydney,44
2024-12-03T02:00,Sydney,45
2024-12-03T03:00,Sydney,46
2024-12-03T04:00,Tokyo,53
2024-12-03T05:00,Tokyo,53
2024-12-03T06:00,Mumbai,52
2024-12-03T07:00,Mumbai,51
2024-12-03T08:00,Mumbai,49
2024-12-03T09:00,Mumbai,47
2024-12-03T10:00,Mumbai,53
2024-12-03T11:00,Mumbai,63
2024-12-03T12:00,Cape Town,57
2024-12-03T13:00,Cape Town,53
2024-12-03T14:00,Cape Town,51
2024-12-03T15:00,Cape Town,53
2024-12-03T16:00,Cape Town,56
2024-12-03T17:00,New York,53
2024-12-03T18:00,New York,46
2024-12-03T19:00,New York,44
2024-12-03T20:00,New York,42
2024-12-03T21:00,New York,35
2024-12-03T22:00,New York,39
2024-12-03T23:00,New York,60
2024-12-04T00:00,New York,48
2024-12-04T01:00,New York,40
2024-12-04T02:00,New York,34
2024-12-04T03:00,New York,41
2024-12-04T04:00,New York,44
2024-12-04T05:00,New York,47
2024-12-04T06:00,Tokyo,48
2024-12-04T07:00,Tokyo,48
2024-12-04T08:00,Mumbai,49
2024-12-04T09:00,Mumbai,50
2024-12-04T10:00,Cape Town,53
2024-12-04T11:00,Cape Town,52
2024-12-04T12:00,Cape Town,51
2024-12-04T13:00,Cape Town,53
2024-12-04T14:00,Cape Town,57
2024-12-04T15:00,New York,56
2024-12-04T16:00,New York,54
2024-12-04T17:00,New York,52
2024-12-04T18:00,New York,48
2024-12-04T19:00,New York,44
2024-12-04T20:00,New York,42
2024-12-04T21:00,New York,43
2024-12-04T22:00,New York,40
2024-12-04T23:00,New York,40
2024-12-05T00:00,New York,42
2024-12-05T01:00,New York,45
2024-12-05T02:00,Tokyo,48
2024-12-05T03:00,Tokyo,46
2024-12-05T04:00,Tokyo,47
2024-12-05T05:00,Tokyo,47
2024-12-05T06:00,Tokyo,49
2024-12-05T07:00,Tokyo,54
2024-12-05T08:00,Mumbai,56
2024-12-05T09:00,Cape Town,55
2024-12-05T10:00,Cape Town,55
2024-12-05T11:00,Cape Town,57
2024-12-05T12:00,Cape Town,53
2024-12-05T13:00,Cape Town,53
2024-12-05T14:00,Cape Town,50
2024-12-05T15:00,Cape Town,56
2024-12-05T16:00,Cape Town,60
2024-12-05T17:00,New York,63
2024-12-05T18:00,New York,49
2024-12-05T19:00,New York,48
2024-12-05T20:00,New York,48
2024-12-05T21:00,New York,55
2024-12-05T22:00,New York,56
2024-12-05T23:00,Tokyo,54
2024-12-06T00:00,New York,48
2024-12-06T01:00,Tokyo,47
2024-12-06T02:00,Tokyo,46
2024-12-06T03:00,Tokyo,42
2024-12-06T04:00,Tokyo,40
2024-12-06T05:00,Tokyo,40
2024-12-06T06:00,Tokyo,40
2024-12-06T07:00,Tokyo,43
2024-12-06T08:00,Mumbai,53
2024-12-06T09:00,Tokyo,54
2024-12-06T10:00,Tokyo,51
2024-12-06T11:00,Tokyo,48
2024-12-06T12:00,Tokyo,48
2024-12-06T13:00,Tokyo,47
2024-12-06T14:00,New York,52
2024-12-06T15:00,New York,47
2024-12-06T16:00,New York,44
2024-12-06T17:00,New York,44
2024-12-06T18:00,New York,42
2024-12-06T19:00,New York,39
2024-12-06T20:00,New York,42
2024-12-06T21:00,New York,46
2024-12-06T22:00,New York,49
2024-12-06T23:00,New York,51
2024-12-07T00:00,New York,52
2024-12-07T01:00,Tokyo,52
2024-12-07T02:00,Sydney,49
2024-12-07T03:00,Sydney,47
2024-12-07T04:00,Sydney,46
2024-12-07T05:00,Mumbai,44
2024-12-07T06:00,Mumbai,36
2024-12-07T07:00,Mumbai,34
2024-12-07T08:00,Mumbai,35
2024-12-07T09:00,Mumbai,35
2024-12-07T10:00,Mumbai,37
2024-12-07T11:00,Mumbai,43
2024-12-07T12:00,Cape Town,43
2024-12-07T13:00,Cape Town,43
2024-12-07T14:00,Rio de Janeiro,40
2024-12-07T15:00,Rio de Janeiro,34
2024-12-07T16:00,Rio de Janeiro,32
2024-12-07T17:00,Rio de Janeiro,31
2024-12-07T18:00,Rio de Janeiro,31
2024-12-07T19:00,Rio de Janeiro,35
2024-12-07T20:00,New York,45
2024-12-07T21:00,New York,44
2024-12-07T22:00,New York,42
2024-12-07T23:00,New York,41
2024-12-08T00:00,New York,41
2024-12-08T01:00,New York,42
2024-12-08T02:00,New York,42
2024-12-08T03:00,New York,43
2024-12-08T04:00,Mumbai,39
2024-12-08T05:00,Mumbai,35
2024-12-08T06:00,Mumbai,33
2024-12-08T07:00,Mumbai,30
2024-12-08T08:00,Mumbai,28
2024-12-08T09:00,Mumbai,28
2024-12-08T10:00,Mumbai,29
2024-12-08T11:00,Mumbai,31
2024-12-08T12:00,Mumbai,38
2024-12-08T13:00,Cape Town,40
2024-12-08T14:00,Cape Town,43
2024-12-08T15:00,Mumbai,49
2024-12-08T16:00,Mumbai,51
2024-12-08T17:00,New York,53
2024-12-08T18:00,New York,52
2024-12-08T19:00,Tokyo,44
2024-12-08T20:00,Tokyo,45
2024-12-08T21:00,Tokyo,46
2024-12-08T22:00,Tokyo,45
2024-12-08T23:00,Tokyo,43
2024-12-09T00:00,Tokyo,40
2024-12-09T01:00,Tokyo,36
2024-12-09T02:00,Tokyo,31
2024-12-09T03:00,Tokyo,28
2024-12-09T04:00,Tokyo,28
2024-12-09T05:00,Tokyo,29
2024-12-09T06:00,Mumbai,26
2024-12-09T07:00,Mumbai,23
2024-12-09T08:00,Mumbai,23
2024-12-09T09:00,Mumbai,24
2024-12-09T10:00,Mumbai,25
2024-12-09T11:00,Mumbai,27
2024-12-09T12:00,Mumbai,30
2024-12-09T13:00,Mumbai,33
2024-12-09T14:00,Mumbai,37
2024-12-09T15:00,Mumbai,41
2024-12-09T16:00,Mumbai,44
2024-12-09T17:00,Mumbai,46
2024-12-09T18:00,Mumbai,48
2024-12-09T19:00,Mumbai,48
2024-12-09T20:00,Mumbai,48
2024-12-09T21:00,Mumbai,47
2024-12-09T22:00,Mumbai,46
2024-12-09T23:00,Mumbai,45
2024-12-10T00:00,Mumbai,45
2024-12-10T01:00,Mumbai,46
2024-12-10T02:00,Tokyo,42
2024-12-10T03:00,Tokyo,38
2024-12-10T04:00,Tokyo,35
2024-12-10T05:00,Tokyo,33
2024-12-10T06:00,Mumbai,28
2024-12-10T07:00,Mumbai,26
2024-12-10T08:00,Mumbai,27
2024-12-10T09:00,Mumbai,29
2024-12-10T10:00,Mumbai,34
2024-12-10T11:00,Mumbai,41
2024-12-10T12:00,Mumbai,47
2024-12-10T13:00,Tokyo,51
2024-12-10T14:00,Tokyo,51
2024-12-10T15:00,Tokyo,53
2024-12-10T16:00,Tokyo,59
2024-12-10T17:00,Mumbai,63
2024-12-10T18:00,Mumbai,64
2024-12-10T19:00,Mumbai,63
2024-12-10T20:00,Mumbai,60
2024-12-10T21:00,Mumbai,58
2024-12-10T22:00,Mumbai,57
2024-12-10T23:00,Sydney,52
2024-12-11T00:00,Sydney,39
2024-12-11T01:00,Sydney,29
2024-12-11T02:00,Sydney,22
2024-12-11T03:00,Sydney,17
2024-12-11T04:00,Sydney,15
2024-12-11T05:00,Sydney,16
2024-12-11T06:00,Sydney,17
2024-12-11T07:00,Sydney,18
2024-12-11T08:00,Sydney,18
2024-12-11T09:00,Sydney,20
2024-12-11T10:00,Sydney,23
2024-12-11T11:00,Sydney,26
2024-12-11T12:00,Sydney,30
2024-12-11T13:00,Sydney,34
2024-12-11T14:00,Sydney,38
2024-12-11T15:00,Tokyo,43
2024-12-11T16:00,Tokyo,42
2024-12-11T17:00,Tokyo,40
2024-12-11T18:00,Tokyo,39
2024-12-11T19:00,Tokyo,39
2024-12-11T20:00,Tokyo,40
2024-12-11T21:00,Tokyo,42
2024-12-11T22:00,Tokyo,45
2024-12-11T23:00,Tokyo,48
